Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
INV-82717200044,2025-05-20,5660,NORTH SIDE LIQUOR & TOBACCO / DUBUQUE,2013 CENTRAL AVE,DUBUQUE,52001.0,POINT (-90.67027 42.51183),DUBUQUE,1082100.0,IMPORTED CORDIALS & LIQUEURS,35.0,BACARDI USA INC,47865,D'USSE VSOP,6.0,750.0,25.0,37.5,3.0,112.5,2.25,0.59
INV-82725700004,2025-05-20,6223,PRIME MART / WATERLOO,508 BROADWAY STREET,WATERLOO,50703.0,POINT (-92.34509 42.51056),BLACK HAWK,1041100.0,AMERICAN DRY GINS,370.0,PERNOD RICARD USA,32236,SEAGRAMS EXTRA DRY GIN,12.0,750.0,7.99,11.99,12.0,143.88,9.0,2.37
INV-82718000020,2025-05-20,5529,BIG 10 MART,2100 JFK RD,DUBUQUE,52001.0,POINT (-90.71988 42.5084),DUBUQUE,1031100.0,AMERICAN VODKAS,260.0,DIAGEO AMERICAS,37993,SMIRNOFF 80PRF,48.0,200.0,2.54,3.81,3.0,11.43,0.6,0.15
INV-82716900001,2025-05-20,10221,SUPER STOP 3 / DUBUQUE,2360 CENTRAL AVENUE,DUBUQUE,52001.0,POINT (-90.67273 42.51582),DUBUQUE,1011100.0,BLENDED WHISKIES,297.0,LAIRD & COMPANY,23824,FIVE STAR,24.0,375.0,2.09,3.14,24.0,75.36,9.0,2.37
INV-82724300075,2025-05-20,2544,HY-VEE FOOD STORE (1403) / MARSHALLTOWN,802 SOUTH CENTER,MARSHALLTOWN,50158.0,POINT (-92.91219 42.04011),MARSHALL,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36306,HAWKEYE VODKA,12.0,750.0,3.5,5.25,12.0,63.0,9.0,2.37
INV-82717600054,2025-05-20,10386,DOWNTOWN GAS AND GROCERY / DUBUQUE,1401 CENTRAL AVENUE,DUBUQUE,52001.0,POINT (-90.66781 42.50649),DUBUQUE,1022200.0,100% AGAVE TEQUILA,35.0,BACARDI USA INC,89644,PATRON ANEJO,12.0,375.0,17.0,25.5,12.0,306.0,4.5,1.18
INV-82734500018,2025-05-20,5445,CASEY'S GENERAL STORE # 2781/ IOWA CITY,1410 WILLOW CREEK DR.,IOWA CITY,52246.0,POINT (-91.56038 41.64149),JOHNSON,1022100.0,MIXTO TEQUILA,395.0,PROXIMO,89191,JOSE CUERVO ESPECIAL REPOSADO MINI,12.0,50.0,12.33,18.5,12.0,222.0,0.6,0.15
INV-82754300059,2025-05-20,3731,WAL-MART 1241 / DAVENPORT,5811 ELMORE AVE,DAVENPORT,52807.0,POINT (-90.52514 41.58062),SCOTT,1022200.0,100% AGAVE TEQUILA,65.0,JIM BEAM BRANDS,88548,HORNITOS PLATA,12.0,750.0,15.0,22.5,12.0,270.0,9.0,2.37
INV-82719300009,2025-05-20,4284,FAREWAY STORES #559 / IOWA FALLS,500 IOWA ST,IOWA FALLS,50126.0,POINT (-93.26316 42.52233),HARDIN,1022100.0,MIXTO TEQUILA,395.0,PROXIMO,87408,JOSE CUERVO ESPECIAL SILVER,12.0,750.0,12.0,18.0,12.0,216.0,9.0,2.37
INV-82756000085,2025-05-20,5351,DOWNTOWN LIQUOR,1203 5TH ST.,SIOUX CITY,51101.0,POINT (-96.39464 42.49563),WOODBURY,1022200.0,100% AGAVE TEQUILA,35.0,BACARDI USA INC,88296,PATRON SILVER,12.0,750.0,24.99,37.49,12.0,449.88,9.0,2.37
